Trial	SceneName	Position	SceneType	"Top Left (x,y)"	"Top Right (x,y)"	"Bottom Right (x,y)"	"Bottom Left (x,y)"
VerbKissLeft	Kiss	Left	TargetLook	"10,222"	"710,222"	"710,922"	"10,922"
VerbKissLeft	Kiss	Right	NontargetLook	"1210,222"	"1910,222"	"1910,922"	"1210,922"
VerbKissRight	Kiss	Right	TargetLook	"1210,222"	"1910,222"	"1910,922"	"1210,922"
VerbKissRight	Kiss	Left	NontargetLook	"10,222"	"710,222"	"710,922"	"10,922"
VerbDanceLeft	Dance	Left	TargetLook	"10,222"	"710,222"	"710,922"	"10,922"
VerbDanceLeft	Dance	Right	NontargetLook	"1210,222"	"1910,222"	"1910,922"	"1210,922"
VerbDanceRight	Dance	Right	TargetLook	"1210,222"	"1910,222"	"1910,922"	"1210,922"
VerbDanceRight	Dance	Left	NontargetLook	"10,222"	"710,222"	"710,922"	"10,922"
VerbHugLeft	Hug	Left	TargetLook	"10,222"	"710,222"	"710,922"	"10,922"
VerbHugLeft	Hug	Right	NontargetLook	"1210,222"	"1910,222"	"1910,922"	"1210,922"
VerbHugRight	Hug	Right	TargetLook	"1210,222"	"1910,222"	"1910,922"	"1210,922"
VerbHugRight	Hug	Left	NontargetLook	"10,222"	"710,222"	"710,922"	"10,922"
VerbEatLeft	Eat	Left	TargetLook	"10,222"	"710,222"	"710,922"	"10,922"
VerbEatLeft	Eat	Right	NontargetLook	"1210,222"	"1910,222"	"1910,922"	"1210,922"
VerbEatRight	Eat	Right	TargetLook	"1210,222"	"1910,222"	"1910,922"	"1210,922"
VerbEatRight	Eat	Left	NontargetLook	"10,222"	"710,222"	"710,922"	"10,922"
VerbDrinkLeft	Drink	Left	TargetLook	"10,222"	"710,222"	"710,922"	"10,922"
VerbDrinkLeft	Drink	Right	NontargetLook	"1210,222"	"1910,222"	"1910,922"	"1210,922"
VerbDrinkRight	Drink	Right	TargetLook	"1210,222"	"1910,222"	"1910,922"	"1210,922"
VerbDrinkRight	Drink	Left	NontargetLook	"10,222"	"710,222"	"710,922"	"10,922"
VerbThrowLeft	Throw	Left	TargetLook	"10,222"	"710,222"	"710,922"	"10,922"
VerbThrowLeft	Throw	Right	NontargetLook	"1210,222"	"1910,222"	"1910,922"	"1210,922"
VerbThrowRight	Throw	Right	TargetLook	"1210,222"	"1910,222"	"1910,922"	"1210,922"
VerbThrowRight	Throw	Left	NontargetLook	"10,222"	"710,222"	"710,922"	"10,922"
VerbTickleLeft	Tickle	Left	TargetLook	"10,222"	"710,222"	"710,922"	"10,922"
VerbTickleLeft	Tickle	Right	NontargetLook	"1210,222"	"1910,222"	"1910,922"	"1210,922"
VerbTickleRight	Tickle	Right	TargetLook	"1210,222"	"1910,222"	"1910,922"	"1210,922"
VerbTickleRight	Tickle	Left	NontargetLook	"10,222"	"710,222"	"710,922"	"10,922"
VerbWalkLeft	Walk	Left	TargetLook	"10,222"	"710,222"	"710,922"	"10,922"
VerbWalkLeft	Walk	Right	NontargetLook	"1210,222"	"1910,222"	"1910,922"	"1210,922"
VerbWalkRight	Walk	Right	TargetLook	"1210,222"	"1910,222"	"1910,922"	"1210,922"
VerbWalkRight	Walk	Left	NontargetLook	"10,222"	"710,222"	"710,922"	"10,922"
VerbCryLeft	Cry	Left	TargetLook	"10,222"	"710,222"	"710,922"	"10,922"
VerbCryLeft	Cry	Right	NontargetLook	"1210,222"	"1910,222"	"1910,922"	"1210,922"
VerbCryRight	Cry	Right	TargetLook	"1210,222"	"1910,222"	"1910,922"	"1210,922"
VerbCryRight	Cry	Left	NontargetLook	"10,222"	"710,222"	"710,922"	"10,922"
VerbSleepLeft	Sleep	Left	TargetLook	"10,222"	"710,222"	"710,922"	"10,922"
VerbSleepLeft	Sleep	Right	NontargetLook	"1210,222"	"1910,222"	"1910,922"	"1210,922"
VerbSleepRight	Sleep	Right	TargetLook	"1210,222"	"1910,222"	"1910,922"	"1210,922"
VerbSleepRight	Sleep	Left	NontargetLook	"10,222"	"710,222"	"710,922"	"10,922"
VerbDaxLeft	Dax	Left	TargetLook	"10,222"	"710,222"	"710,922"	"10,922"
VerbDaxLeft	Dax	Right	NontargetLook	"1210,222"	"1910,222"	"1910,922"	"1210,922"
VerbDaxRight	Dax	Right	TargetLook	"1210,222"	"1910,222"	"1910,922"	"1210,922"
VerbDaxRight	Dax	Left	NontargetLook	"10,222"	"710,222"	"710,922"	"10,922"
VerbNeemLeft	Neem	Left	TargetLook	"10,222"	"710,222"	"710,922"	"10,922"
VerbNeemLeft	Neem	Right	NontargetLook	"1210,222"	"1910,222"	"1910,922"	"1210,922"
VerbNeemRight	Neem	Right	TargetLook	"1210,222"	"1910,222"	"1910,922"	"1210,922"
VerbNeemRight	Neem	Left	NontargetLook	"10,222"	"710,222"	"710,922"	"10,922"
NounDiaperLeft	Diaper	Left	TargetLook	"10,222"	"710,222"	"710,922"	"10,922"
NounDiaperLeft	Diaper	Right	NontargetLook	"1210,222"	"1910,222"	"1910,922"	"1210,922"
NounDiaperRight	Diaper	Right	TargetLook	"1210,222"	"1910,222"	"1910,922"	"1210,922"
NounDiaperRight	Diaper	Left	NontargetLook	"10,222"	"710,222"	"710,922"	"10,922"
NounDogLeft	Dog	Left	TargetLook	"10,222"	"710,222"	"710,922"	"10,922"
NounDogLeft	Dog	Right	NontargetLook	"1210,222"	"1910,222"	"1910,922"	"1210,922"
NounDogRight	Dog	Right	TargetLook	"1210,222"	"1910,222"	"1910,922"	"1210,922"
NounDogRight	Dog	Left	NontargetLook	"10,222"	"710,222"	"710,922"	"10,922"
NounNoseLeft	Nose	Left	TargetLook	"10,222"	"710,222"	"710,922"	"10,922"
NounNoseLeft	Nose	Right	NontargetLook	"1210,222"	"1910,222"	"1910,922"	"1210,922"
NounNoseRight	Nose	Right	TargetLook	"1210,222"	"1910,222"	"1910,922"	"1210,922"
NounNoseRight	Nose	Left	NontargetLook	"10,222"	"710,222"	"710,922"	"10,922"
NounCrackerLeft	Cracker	Left	TargetLook	"10,222"	"710,222"	"710,922"	"10,922"
NounCrackerLeft	Cracker	Right	NontargetLook	"1210,222"	"1910,222"	"1910,922"	"1210,922"
NounCrackerRight	Cracker	Right	TargetLook	"1210,222"	"1910,222"	"1910,922"	"1210,922"
NounCrackerRight	Cracker	Left	NontargetLook	"10,222"	"710,222"	"710,922"	"10,922"
NounBalloonLeft	Balloon	Left	TargetLook	"10,222"	"710,222"	"710,922"	"10,922"
NounBalloonLeft	Balloon	Right	NontargetLook	"1210,222"	"1910,222"	"1910,922"	"1210,922"
NounBalloonRight	Balloon	Right	TargetLook	"1210,222"	"1910,222"	"1910,922"	"1210,922"
NounBalloonRight	Balloon	Left	NontargetLook	"10,222"	"710,222"	"710,922"	"10,922"
NounKittyLeft	Kitty	Left	TargetLook	"10,222"	"710,222"	"710,922"	"10,922"
NounKittyLeft	Kitty	Right	NontargetLook	"1210,222"	"1910,222"	"1910,922"	"1210,922"
