Filename	Trial	Phase	Subphase	Starting_time
verb_kiss_left.avi	VerbKissLeft	PromptTest	Prompt	0
verb_kiss_left.avi	VerbKissLeft	PromptTest	Black	4
verb_kiss_left.avi	VerbKissLeft	PromptTest	BlackPostWord	5.5
verb_kiss_left.avi	VerbKissLeft	PromptTest	Response	7
verb_kiss_right.avi	VerbKissRight	PromptTest	Prompt	0
verb_kiss_right.avi	VerbKissRight	PromptTest	Black	4
verb_kiss_right.avi	VerbKissRight	PromptTest	BlackPostWord	5.5
verb_kiss_right.avi	VerbKissRight	PromptTest	Response	7
verb_dance_left.avi	VerbDanceLeft	PromptTest	Prompt	0
verb_dance_left.avi	VerbDanceLeft	PromptTest	Black	4
verb_dance_left.avi	VerbDanceLeft	PromptTest	BlackPostWord	5.5
verb_dance_left.avi	VerbDanceLeft	PromptTest	Response	7
verb_dance_right.avi	VerbDanceRight	PromptTest	Prompt	0
verb_dance_right.avi	VerbDanceRight	PromptTest	Black	4
verb_dance_right.avi	VerbDanceRight	PromptTest	BlackPostWord	5.5
verb_dance_right.avi	VerbDanceRight	PromptTest	Response	7
verb_hug_left.avi	VerbHugLeft	PromptTest	Prompt	0
verb_hug_left.avi	VerbHugLeft	PromptTest	Black	4
verb_hug_left.avi	VerbHugLeft	PromptTest	BlackPostWord	5.5
verb_hug_left.avi	VerbHugLeft	PromptTest	Response	7
verb_hug_right.avi	VerbHugRight	PromptTest	Prompt	0
verb_hug_right.avi	VerbHugRight	PromptTest	Black	4
verb_hug_right.avi	VerbHugRight	PromptTest	BlackPostWord	5.5
verb_hug_right.avi	VerbHugRight	PromptTest	Response	7
verb_eat_left.avi	VerbEatLeft	PromptTest	Prompt	0
verb_eat_left.avi	VerbEatLeft	PromptTest	Black	4
verb_eat_left.avi	VerbEatLeft	PromptTest	BlackPostWord	5.5
verb_eat_left.avi	VerbEatLeft	PromptTest	Response	7
verb_eat_right.avi	VerbEatRight	PromptTest	Prompt	0
verb_eat_right.avi	VerbEatRight	PromptTest	Black	4
verb_eat_right.avi	VerbEatRight	PromptTest	BlackPostWord	5.5
verb_eat_right.avi	VerbEatRight	PromptTest	Response	7
verb_drink_left.avi	VerbDrinkLeft	PromptTest	Prompt	0
verb_drink_left.avi	VerbDrinkLeft	PromptTest	Black	4
verb_drink_left.avi	VerbDrinkLeft	PromptTest	BlackPostWord	5.5
verb_drink_left.avi	VerbDrinkLeft	PromptTest	Response	7
verb_drink_right.avi	VerbDrinkRight	PromptTest	Prompt	0
verb_drink_right.avi	VerbDrinkRight	PromptTest	Black	4
verb_drink_right.avi	VerbDrinkRight	PromptTest	BlackPostWord	5.5
verb_drink_right.avi	VerbDrinkRight	PromptTest	Response	7
verb_throw_left.avi	VerbThrowLeft	PromptTest	Prompt	0
verb_throw_left.avi	VerbThrowLeft	PromptTest	Black	4
verb_throw_left.avi	VerbThrowLeft	PromptTest	BlackPostWord	5.5
verb_throw_left.avi	VerbThrowLeft	PromptTest	Response	7
verb_throw_right.avi	VerbThrowRight	PromptTest	Prompt	0
verb_throw_right.avi	VerbThrowRight	PromptTest	Black	4
verb_throw_right.avi	VerbThrowRight	PromptTest	BlackPostWord	5.5
verb_throw_right.avi	VerbThrowRight	PromptTest	Response	7
verb_tickle_left.avi	VerbTickleLeft	PromptTest	Prompt	0
verb_tickle_left.avi	VerbTickleLeft	PromptTest	Black	4
verb_tickle_left.avi	VerbTickleLeft	PromptTest	BlackPostWord	5.5
verb_tickle_left.avi	VerbTickleLeft	PromptTest	Response	7
verb_tickle_right.avi	VerbTickleRight	PromptTest	Prompt	0
verb_tickle_right.avi	VerbTickleRight	PromptTest	Black	4
verb_tickle_right.avi	VerbTickleRight	PromptTest	BlackPostWord	5.5
verb_tickle_right.avi	VerbTickleRight	PromptTest	Response	7
verb_walk_left.avi	VerbWalkLeft	PromptTest	Prompt	0
verb_walk_left.avi	VerbWalkLeft	PromptTest	Black	4
verb_walk_left.avi	VerbWalkLeft	PromptTest	BlackPostWord	5.5
verb_walk_left.avi	VerbWalkLeft	PromptTest	Response	7
verb_walk_right.avi	VerbWalkRight	PromptTest	Prompt	0
verb_walk_right.avi	VerbWalkRight	PromptTest	Black	4
verb_walk_right.avi	VerbWalkRight	PromptTest	BlackPostWord	5.5
verb_walk_right.avi	VerbWalkRight	PromptTest	Response	7
verb_cry_left.avi	VerbCryLeft	PromptTest	Prompt	0
verb_cry_left.avi	VerbCryLeft	PromptTest	Black	4
verb_cry_left.avi	VerbCryLeft	PromptTest	BlackPostWord	5.5
verb_cry_left.avi	VerbCryLeft	PromptTest	Response	7
verb_cry_right.avi	VerbCryRight	PromptTest	Prompt	0
verb_cry_right.avi	VerbCryRight	PromptTest	Black	4
verb_cry_right.avi	VerbCryRight	PromptTest	BlackPostWord	5.5
verb_cry_right.avi	VerbCryRight	PromptTest	Response	7
verb_sleep_left.avi	VerbSleepLeft	PromptTest	Prompt	0
verb_sleep_left.avi	VerbSleepLeft	PromptTest	Black	4
verb_sleep_left.avi	VerbSleepLeft	PromptTest	BlackPostWord	5.5
verb_sleep_left.avi	VerbSleepLeft	PromptTest	Response	7
verb_sleep_right.avi	VerbSleepRight	PromptTest	Prompt	0
verb_sleep_right.avi	VerbSleepRight	PromptTest	Black	4
verb_sleep_right.avi	VerbSleepRight	PromptTest	BlackPostWord	5.5
verb_sleep_right.avi	VerbSleepRight	PromptTest	Response	7
verb_dax_left.avi	VerbDaxLeft	PromptTest	Prompt	0
verb_dax_left.avi	VerbDaxLeft	PromptTest	Black	4
verb_dax_left.avi	VerbDaxLeft	PromptTest	BlackPostWord	5.5
verb_dax_left.avi	VerbDaxLeft	PromptTest	Response	7
verb_dax_right.avi	VerbDaxRight	PromptTest	Prompt	0
verb_dax_right.avi	VerbDaxRight	PromptTest	Black	4
verb_dax_right.avi	VerbDaxRight	PromptTest	BlackPostWord	5.5
verb_dax_right.avi	VerbDaxRight	PromptTest	Response	7
verb_neem_left.avi	VerbNeemLeft	PromptTest	Prompt	0
verb_neem_left.avi	VerbNeemLeft	PromptTest	Black	4
verb_neem_left.avi	VerbNeemLeft	PromptTest	BlackPostWord	5.5
verb_neem_left.avi	VerbNeemLeft	PromptTest	Response	7
verb_neem_right.avi	VerbNeemRight	PromptTest	Prompt	0
verb_neem_right.avi	VerbNeemRight	PromptTest	Black	4
verb_neem_right.avi	VerbNeemRight	PromptTest	BlackPostWord	5.5
verb_neem_right.avi	VerbNeemRight	PromptTest	Response	7
noun_diaper_left.avi	NounDiaperLeft	PromptTest	Prompt	0
noun_diaper_left.avi	NounDiaperLeft	PromptTest	Black	4
noun_diaper_left.avi	NounDiaperLeft	PromptTest	BlackPostWord	5.5
noun_diaper_left.avi	NounDiaperLeft	PromptTest	Response	7
noun_diaper_right.avi	NounDiaperRight	PromptTest	Prompt	0
noun_diaper_right.avi	NounDiaperRight	PromptTest	Black	4
noun_diaper_right.avi	NounDiaperRight	PromptTest	BlackPostWord	5.5
noun_diaper_right.avi	NounDiaperRight	PromptTest	Response	7
noun_dog_left.avi	NounDogLeft	PromptTest	Prompt	0
noun_dog_left.avi	NounDogLeft	PromptTest	Black	4
noun_dog_left.avi	NounDogLeft	PromptTest	BlackPostWord	5.5
noun_dog_left.avi	NounDogLeft	PromptTest	Response	7
noun_dog_right.avi	NounDogRight	PromptTest	Prompt	0
noun_dog_right.avi	NounDogRight	PromptTest	Black	4
noun_dog_right.avi	NounDogRight	PromptTest	BlackPostWord	5.5
noun_dog_right.avi	NounDogRight	PromptTest	Response	7
noun_nose_left.avi	NounNoseLeft	PromptTest	Prompt	0
noun_nose_left.avi	NounNoseLeft	PromptTest	Black	4
noun_nose_left.avi	NounNoseLeft	PromptTest	BlackPostWord	5.5
noun_nose_left.avi	NounNoseLeft	PromptTest	Response	7
noun_nose_right.avi	NounNoseRight	PromptTest	Prompt	0
noun_nose_right.avi	NounNoseRight	PromptTest	Black	4
noun_nose_right.avi	NounNoseRight	PromptTest	BlackPostWord	5.5
noun_nose_right.avi	NounNoseRight	PromptTest	Response	7
noun_cracker_left.avi	NounCrackerLeft	PromptTest	Prompt	0
noun_cracker_left.avi	NounCrackerLeft	PromptTest	Black	4
noun_cracker_left.avi	NounCrackerLeft	PromptTest	BlackPostWord	5.5
noun_cracker_left.avi	NounCrackerLeft	PromptTest	Response	7
noun_cracker_right.avi	NounCrackerRight	PromptTest	Prompt	0
noun_cracker_right.avi	NounCrackerRight	PromptTest	Black	4
noun_cracker_right.avi	NounCrackerRight	PromptTest	BlackPostWord	5.5
noun_cracker_right.avi	NounCrackerRight	PromptTest	Response	7
noun_balloon_left.avi	NounBalloonLeft	PromptTest	Prompt	0
noun_balloon_left.avi	NounBalloonLeft	PromptTest	Black	4
noun_balloon_left.avi	NounBalloonLeft	PromptTest	BlackPostWord	5.5
noun_balloon_left.avi	NounBalloonLeft	PromptTest	Response	7
noun_balloon_right.avi	NounBalloonRight	PromptTest	Prompt	0
noun_balloon_right.avi	NounBalloonRight	PromptTest	Black	4
noun_balloon_right.avi	NounBalloonRight	PromptTest	BlackPostWord	5.5
noun_balloon_right.avi	NounBalloonRight	PromptTest	Response	7
noun_kitty_left.avi	NounKittyLeft	PromptTest	Prompt	0
noun_kitty_left.avi	NounKittyLeft	PromptTest	Black	4
noun_kitty_left.avi	NounKittyLeft	PromptTest	BlackPostWord	5.5
noun_kitty_left.avi	NounKittyLeft	PromptTest	Response	7
noun_kitty_right.avi	NounKittyRight	PromptTest	Prompt	0
noun_kitty_right.avi	NounKittyRight	PromptTest	Black	4
noun_kitty_right.avi	NounKittyRight	PromptTest	BlackPostWord	5.5
noun_kitty_right.avi	NounKittyRight	PromptTest	Response	7
noun_stroller_left.avi	NounStrollerLeft	PromptTest	Prompt	0
noun_stroller_left.avi	NounStrollerLeft	PromptTest	Black	4
noun_stroller_left.avi	NounStrollerLeft	PromptTest	BlackPostWord	5.5
noun_stroller_left.avi	NounStrollerLeft	PromptTest	Response	7
noun_stroller_right.avi	NounStrollerRight	PromptTest	Prompt	0
noun_stroller_right.avi	NounStrollerRight	PromptTest	Black	4
noun_stroller_right.avi	NounStrollerRight	PromptTest	BlackPostWord	5.5
noun_stroller_right.avi	NounStrollerRight	PromptTest	Response	7
noun_crib_left.avi	NounCribLeft	PromptTest	Prompt	0
noun_crib_left.avi	NounCribLeft	PromptTest	Black	4
noun_crib_left.avi	NounCribLeft	PromptTest	BlackPostWord	5.5
noun_crib_left.avi	NounCribLeft	PromptTest	Response	7
noun_crib_right.avi	NounCribRight	PromptTest	Prompt	0
noun_crib_right.avi	NounCribRight	PromptTest	Black	4
noun_crib_right.avi	NounCribRight	PromptTest	BlackPostWord	5.5
noun_crib_right.avi	NounCribRight	PromptTest	Response	7
noun_chair_left.avi	NounChairLeft	PromptTest	Prompt	0
noun_chair_left.avi	NounChairLeft	PromptTest	Black	4
noun_chair_left.avi	NounChairLeft	PromptTest	BlackPostWord	5.5
noun_chair_left.avi	NounChairLeft	PromptTest	Response	7
noun_chair_right.avi	NounChairRight	PromptTest	Prompt	0
noun_chair_right.avi	NounChairRight	PromptTest	Black	4
noun_chair_right.avi	NounChairRight	PromptTest	BlackPostWord	5.5
noun_chair_right.avi	NounChairRight	PromptTest	Response	7
noun_bunny_left.avi	NounBunnyLeft	PromptTest	Prompt	0
noun_bunny_left.avi	NounBunnyLeft	PromptTest	Black	4
noun_bunny_left.avi	NounBunnyLeft	PromptTest	BlackPostWord	5.5
noun_bunny_left.avi	NounBunnyLeft	PromptTest	Response	7
noun_bunny_right.avi	NounBunnyRight	PromptTest	Prompt	0
noun_bunny_right.avi	NounBunnyRight	PromptTest	Black	4
noun_bunny_right.avi	NounBunnyRight	PromptTest	BlackPostWord	5.5
noun_bunny_right.avi	NounBunnyRight	PromptTest	Response	7
noun_blick_left.avi	NounBlickLeft	PromptTest	Prompt	0
noun_blick_left.avi	NounBlickLeft	PromptTest	Black	4
noun_blick_left.avi	NounBlickLeft	PromptTest	BlackPostWord	5.5
noun_blick_left.avi	NounBlickLeft	PromptTest	Response	7
noun_blick_right.avi	NounBlickRight	PromptTest	Prompt	0
noun_blick_right.avi	NounBlickRight	PromptTest	Black	4
noun_blick_right.avi	NounBlickRight	PromptTest	BlackPostWord	5.5
noun_blick_right.avi	NounBlickRight	PromptTest	Response	7
noun_lif_left.avi	NounLifLeft	PromptTest	Prompt	0
noun_lif_left.avi	NounLifLeft	PromptTest	Black	4
noun_lif_left.avi	NounLifLeft	PromptTest	BlackPostWord	5.5
noun_lif_left.avi	NounLifLeft	PromptTest	Response	7
noun_lif_right.avi	NounLifRight	PromptTest	Prompt	0
noun_lif_right.avi	NounLifRight	PromptTest	Black	4
noun_lif_right.avi	NounLifRight	PromptTest	BlackPostWord	5.5
noun_lif_right.avi	NounLifRight	PromptTest	Response	7
